Start Time,End Time,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,sd1,sd2,ratio_sd2_sd1
0,3,628.1993007,58.24534306,14.95563725,5,1.748251748,21,7.342657343,14.95737616,640,302.5,0.023809922,0.092717937,96.37198717,137.1428571,81.08108108,9.355688132,286.3554498,33.16053505,8.635429114,89.62163503,10.37836497,660.1466075,340.6306226,10.59383453,81.68727346,7.710831546
0.25,3.25,629.5804196,58.29207183,12.95926517,4,1.398601399,13,4.545454545,12.96230486,647.5,277.5,0.020588799,0.092588762,96.16570076,137.1428571,83.91608392,9.39860613,167.6378219,32.77156178,5.115344306,83.64769096,16.35230904,341.9643076,141.5549239,9.179703178,81.92474795,8.924553045
0.5,3.5,640.4092527,56.07865944,13.14829251,4,1.423487544,12,4.270462633,13.15920156,665,277.5,0.020548113,0.08756691,94.47566795,137.1428571,83.91608392,9.039067241,196.1706946,39.5961647,4.954285246,83.20537296,16.79462704,388.2338108,152.4669515,9.313893623,78.7583867,8.456010976
0.75,3.75,651.0326087,53.33943665,13.38820159,4,1.449275362,12,4.347826087,13.39417567,670,277.5,0.02057374,0.081930515,92.86186992,137.1428571,83.91608392,8.621422379,204.4786525,42.65311486,4.793991086,82.74073976,17.25926024,370.8000051,123.6682377,9.484147741,74.83476429,7.890510179
1,4,662.2610294,46.47957229,12.89375076,4,1.470588235,11,4.044117647,12.90199847,680,277.5,0.019481742,0.070183161,91.12611912,137.1428571,83.91608392,7.59038278,73.09643215,15.56198257,4.697115668,82.44725826,17.55274174,148.5264886,59.86807392,9.134126806,65.09430857,7.126494951
1.25,4.25,676.0714286,27.71619259,10.19845792,0,0,6,2.255639098,10.20543695,685,145,0.015095205,0.040995953,88.90746624,104.3478261,83.33333333,3.904277142,53.41367507,15.57909411,3.4285482,77.4192364,22.5807636,108.3232558,39.33048664,7.225043797,38.52497119,5.332143621
1.5,4.5,683.2129278,18.55053713,9.916339781,0,0,4,1.520912548,9.918561518,685,110,0.014517526,0.027151912,87.88684853,98.36065574,83.33333333,2.455914137,55.44889634,15.34164238,3.614273815,78.32811749,21.67188251,112.0609843,41.27044558,7.025331041,25.27626513,3.597875315
1.75,4.75,689.6551724,16.71238204,9.867071381,0,0,3,1.149425287,9.869338689,690,110,0.014310541,0.024232954,87.05023035,93.02325581,79.47019868,2.078659367,54.22473915,14.97611012,3.620749227,78.35848796,21.64151204,93.21875566,24.01790639,6.990529361,22.57742072,3.229715456
2,5,691.5708812,16.06548363,10.21360257,0,0,5,1.915708812,10.21405517,690,110,0.014769354,0.023230422,86.80512209,93.02325581,79.47019868,1.990961116,61.40976645,19.34464154,3.174510435,76.04509522,23.95490478,114.067208,33.31279998,7.2360365,21.53692885,2.976343313
2.25,5.25,691,19.75135008,10.16159444,0,0,5,1.923076923,10.16276799,690,150,0.014707334,0.028583719,86.90429164,99.17355372,79.47019868,2.587392028,58.50431691,29.40450767,1.989637697,66.55113089,33.44886911,130.3743842,42.46555964,7.19924393,26.98893379,3.748856693
